"City Council districts","Population 3 Years and Over Enrolled in School","Nursery School, Preschool","Kindergarten","Elementary School (Grades 1-8)","High School (Grades 9-12)","College or Graduate School","Population 25 Years and Over","Less Than 9th Grade","9th to 12th Grade, No Diploma","High School Graduate (Includes Equivalency)","Some College, No Degree","Associate's Degree","Bachelor's Degree","Graduate or Professional Degree","Less Than High School Graduate","Bachelor's Degree or Higher"
"City Council District 01",29819,1665,1335,10778,4645,11396,130850,11837,10698,13885,9179,3969,49510,31772,22535,81282
"City Council District 02",36203,1472,802,6679,2648,24602,123210,6015,5173,12434,11069,3653,47102,37764,11188,84866
"City Council District 03",19979,1344,696,5469,2382,10088,129780,3016,4120,9338,10971,3882,54563,43890,7136,98453
"City Council District 04",24773,2211,1156,9438,3212,8756,129994,1716,1584,6695,7999,2911,50037,59052,3300,109089
"City Council District 05",26400,3115,901,8945,4721,8718,128878,1839,2182,10171,8423,4360,46834,55069,4021,101903
"City Council District 06",28444,3369,1324,10393,4167,9191,138241,2370,1947,9481,8905,3362,51143,61033,4317,112176
"City Council District 07",46316,1484,1366,9931,5758,27777,120757,9753,8160,16601,15281,3807,31949,35206,17913,67155
"City Council District 08",42957,3097,2057,17019,9167,11617,115108,16637,15247,29917,16539,6211,18293,12264,31884,30557
"City Council District 09",44605,2884,2545,15682,9435,14059,140116,10955,11932,31243,21202,7367,31531,25886,22887,57417
"City Council District 10",46337,2287,2003,16294,8343,17410,152892,21398,14833,28458,22074,8520,33080,24529,36231,57609
"City Council District 11",44408,3076,2049,16245,9100,13938,123127,9952,11607,29031,19201,8390,24073,20873,21559,44946
"City Council District 12",46534,3157,1996,17560,9602,14219,122099,8369,14238,36512,22651,10807,18353,11169,22607,29522
"City Council District 13",40865,2512,1389,15147,8207,13610,112323,9542,9297,30859,18910,10355,20567,12793,18839,33360
"City Council District 14",44336,3398,2152,19121,9077,10588,106734,16955,15257,31844,18458,7529,11974,4717,32212,16691
"City Council District 15",54969,3495,2864,22986,10895,14729,105871,17840,15853,29646,19579,7559,10563,4831,33693,15394
"City Council District 16",51338,2967,1743,22445,11168,13015,112217,17985,17134,33237,17565,9174,12023,5099,35119,17122
"City Council District 17",46990,2882,2904,18991,10532,11681,106350,16909,16477,30267,18378,9132,11050,4137,33386,15187
"City Council District 18",42847,3117,2045,17366,8982,11337,109199,13988,12416,30901,19093,9893,14686,8222,26404,22908
"City Council District 19",36338,2113,2152,13603,7262,11208,125825,11786,7483,28587,17122,10584,27912,22351,19269,50263
"City Council District 20",27672,1479,1159,10528,5304,9202,121933,18480,13518,33942,12471,10510,20910,12102,31998,33012
"City Council District 21",41271,2764,1932,17075,9301,10199,109419,25043,10796,36156,13749,7196,12132,4347,35839,16479
"City Council District 22",25329,1683,1239,7729,4183,10495,115185,7830,5907,22685,12268,7668,37053,21774,13737,58827
"City Council District 23",34932,2571,1426,13159,6496,11280,127843,9910,7340,27511,17749,10431,33402,21500,17250,54902
"City Council District 24",41671,2996,2081,14387,7616,14591,114183,9628,5588,24289,15721,9249,29731,19977,15216,49708
"City Council District 25",34733,2214,1264,14050,6909,10296,117122,16317,8244,32773,12149,8873,24473,14293,24561,38766
"City Council District 26",30129,2059,1921,10802,5035,10312,116374,10311,6177,27955,11932,7495,31042,21462,16488,52504
"City Council District 27",42260,2281,1674,15203,9453,13649,121740,10110,9701,35643,24353,10912,19725,11296,19811,31021
"City Council District 28",44255,2320,2256,16845,8954,13880,127601,13044,11220,42023,25012,9747,18191,8364,24264,26555
"City Council District 29",36914,2497,1815,14002,6998,11602,128415,10263,7067,25236,16816,8552,33685,26796,17330,60481
"City Council District 30",38161,2265,1573,15065,7497,11761,124710,9739,8295,35204,17873,9782,29047,14770,18034,43817
"City Council District 31",50967,3065,3184,21360,10613,12745,121092,8446,9267,35003,24334,10912,19417,13713,17713,33130
"City Council District 32",40987,3978,2131,15804,8080,10994,121858,11013,8958,34217,19811,9613,23567,14679,19971,38246
"City Council District 33",43588,4582,3435,17760,7008,10803,110112,3615,5620,13937,9141,3240,41239,33320,9235,74559
"City Council District 34",37052,2237,3006,13986,7223,10600,117292,12302,10972,23611,13367,6454,34999,15587,23274,50586
"City Council District 35",37918,3180,1929,13194,5773,13842,126091,6421,7458,19484,15189,6648,40702,30189,13879,70891
"City Council District 36",37290,2803,1903,14066,7880,10638,126373,7585,9422,28270,16619,7696,35291,21490,17007,56781
"City Council District 37",37110,2262,1447,13505,8291,11605,114009,12457,12228,37093,15881,6745,21621,7984,24685,29605
"City Council District 38",39760,3017,2116,16658,8086,9883,113036,20264,13100,27179,9513,5979,22591,14410,33364,37001
"City Council District 39",41645,4066,2409,19386,7485,8299,124723,4861,4779,12521,9395,5089,42770,45308,9640,88078
"City Council District 40",39844,2368,1884,14220,7657,13715,130124,8117,9794,35173,19940,7786,29615,19699,17911,49314
"City Council District 41",41670,3280,2439,18041,7329,10581,120795,8746,13421,42075,19457,8899,18349,9848,22167,28197
"City Council District 42",43244,2568,2314,19345,9049,9968,111226,8782,9678,47125,17264,9035,13326,6016,18460,19342
"City Council District 43",38205,2384,2099,17356,7234,9132,106595,21632,12689,27842,9033,5869,19812,9718,34321,29530
"City Council District 44",58152,4506,4448,27028,10818,11352,89678,9286,8064,28113,11116,4676,17320,11103,17350,28423
"City Council District 45",43055,2193,2254,15060,9308,14240,114239,6514,7503,29732,19714,9987,24450,16339,14017,40789
"City Council District 46",40577,2334,1837,16554,8525,11327,115172,7224,6172,32786,18378,10479,24395,15738,13396,40133
"City Council District 47",38611,2186,1816,15598,9009,10002,122817,12069,9404,28739,14039,7871,29509,21186,21473,50695
"City Council District 48",35574,2456,2547,13935,7295,9341,127671,7976,6048,29989,12999,10212,34669,25778,14024,60447
"City Council District 49",39534,2399,1606,16277,8137,11115,106911,7460,9437,30934,17591,7161,20793,13535,16897,34328
"City Council District 50",41206,2697,1967,16208,9131,11203,121270,7660,6525,36399,19280,9024,25555,16827,14185,42382
"City Council District 51",43192,3083,1700,16787,9818,11804,127430,4175,5625,37698,20696,9991,29177,20068,9800,49245
